assessmentIdentifier,edfi_descriptor
circle_rln,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development
circle_rapid_vocabulary,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development
circle_pa,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development
circle_pa_opt,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development
circle_math,uri://ed-fi.org/AssessmentCategoryDescriptor#Achievement test
circle_math_opt,uri://ed-fi.org/AssessmentCategoryDescriptor#Achievement test
circle_letter_sound,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development
circle_story_retell_comp,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development
circle_book_print,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development
circle_science,uri://ed-fi.org/AssessmentCategoryDescriptor#Achievement test
circle_social_studies,uri://ed-fi.org/AssessmentCategoryDescriptor#Achievement test
circle_social_emotional,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Social and emotional development
circle_early_writing,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development
circle_approaches_to_learning_exp,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Approaches toward learning
circle_physical_dev_health,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Physical well-being and motor dev
circle_language_communication,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development
circle_motivation_to_read,uri://ed-fi.org/AssessmentCategoryDescriptor#Early Learning - Language and literacy development
circle_cpm_admin_mode,uri://ed-fi.org/AssessmentCategoryDescriptor#Other
